nom_depto;depto;nom_mun;codigo;NBI1993;NBI2005;HDCT93;HDCL93;HDCT2005;HDCL2005;TMI2005;TMI2016;VA2011;VA2015;CON2018;SUB2018
ANTIOQUIA;5;Girardota;5308;22,28006247;15,43322131;4,58;27,52;5,94;20,65;10,04;8,276694424;510,1703606;1196,024427;0,573112501;0,22944234
ANTIOQUIA;5;Gómez Plata;5310;41,39172862;39,4488601;2,4;42,91;7,94;41,39;15,97;11,90622429;420,0793908;430,239008;0,171330538;0,385436523
ANTIOQUIA;5;Granada;5313;46,03302208;27,25714898;1,25;55,31;0,88;35,71;18,17;15,86784824;46,31572456;55,62940185;0,16560316;0,680644181
ANTIOQUIA;5;Guadalupe;5315;59,8961132;48,21782178;2,09;72,39;3,5;68,59;25,68;21,46896522;145,8570711;46,3809568;0,191667987;0,650879138
ANTIOQUIA;5;Guarne;5318;35,9169859;17,72544568;2,17;46,43;1,65;26,67;12,82;12,26810409;382,8116759;809,8065445;0,532392546;0,224234349
ANTIOQUIA;5;Guatapé;5321;26,55095377;14,50621756;1,72;29,58;1,39;7,41;17,16;11,21298442;261,7150841;428,9002172;0,503967486;0,533772015
ANTIOQUIA;5;Heliconia;5347;44,98488991;34,2720099;2,34;55,26;2,74;28,28;18,16;14,58573403;36,94516858;67,03988003;0,153378496;0,59892305
ANTIOQUIA;5;Hispania;5353;41,65289256;28,25814536;3,32;49,74;5,47;29,95;18,79;15,1253346;35,09470262;54,28436919;0,227915556;0,56179545
ANTIOQUIA;5;Itagui;5360;12,29830063;8,791079454;6,29;9,78;2,27;6,37;8,01;7,084487829;4236,996677;5807,12966;0,851044256;0,142578132
ANTIOQUIA;5;Ituango;5361;75,38506782;65,21511786;5,73;75,96;8,79;63,1;31,44;22,23114175;123,9076807;168,4512277;0,115621763;0,92561535
ANTIOQUIA;5;Jardín;5364;35,47993395;24,28058819;2,78;51,79;5,21;40,28;15,04;13,16404228;118,4649722;137,3908621;0,251985878;0,713665784
ANTIOQUIA;5;Jericó;5368;29,79679686;27,06216449;3,4;29,04;6,1;31,23;17,38;11,61479339;118,0702747;141,2518892;0,310495016;0,547868331
ANTIOQUIA;5;La Ceja;5376;20,45237694;13,75297575;6,44;25,23;7,15;9,46;10,7;9,243037008;348,7314377;484,7797029;1,011723742;0,202026189
ANTIOQUIA;5;La Estrella;5380;18,58161959;11,63605433;6,52;19,72;2,83;8,6;11,24;9,569503746;802,3173791;1086,18036;0,472004976;0,139718573
ANTIOQUIA;5;La Pintada4;5390;43,7;37,62760604;11,08101;;12,74;26,01;16,44;14,70975092;65,31787291;101,6865958;0,529293242;0,645381277
ANTIOQUIA;5;La Unión;5400;28,45425447;18,39849677;2,25;35,06;3,21;23,6;14,07;12,61791484;141,9033763;175,5368484;0,520854895;0,470244256
ANTIOQUIA;5;Liborina;5411;41,46962146;35,22678648;2,6;62,73;2,52;46,57;18,49;13,62571816;66,97896417;75,41250802;0,112052731;0,789600335
ANTIOQUIA;5;Maceo;5425;48,48249027;35,42168675;2,35;65,49;3,81;45,69;15,48;13,30945637;72,66389137;73,12560805;0,269713262;0,913530466
ANTIOQUIA;5;Marinilla;5440;29,39243231;14,56087825;3,15;33,14;1,29;14,93;11,14;9,082436142;584,6589346;638,3439863;0,671781818;0,295927273
ANTIOQUIA;5;Montebello;5467;45,02794597;33,97427217;1,1;70,73;1,83;48,06;18;15,42893742;72,18352639;105,0113483;0,141344538;0,743865546
ANTIOQUIA;5;Murindó;5475;99,91356958;97,0848814;12,54;87,46;40,49;59,51;56,08;39,81695007;16,33999088;32,54892289;0,046089677;0,92012513
ANTIOQUIA;5;Mutatá;5480;69,59672037;60,74058708;8,8;65,95;13,35;47,29;30,37;28,79124275;113,4914546;147,1113122;0,097006266;0,881318171
ANTIOQUIA;5;Nariño;5483;50,03312965;34,22163002;6,12;73,06;1,83;56,84;20,15;19,04754828;116,5375595;112,3048428;0,041049418;0,488917788
ANTIOQUIA;5;Necoclí;5490;83,27337489;77,80315906;12,23;83,51;12,42;68,24;39,19;32,22343367;344,0465408;439,8914986;0,066551939;0,723284041
ANTIOQUIA;5;Nechí;5495;66,87526517;68,12906878;14,05;81,89;15,77;78,19;25,11;21,55406061;238,7823221;199,119574;0,046319183;0,844922085
ANTIOQUIA;5;Olaya;5501;51,66931638;40,62827225;2,84;54,79;4,18;30,67;22,64;15,67039219;21,11791861;27,41133427;0,057703927;0,530513595
ANTIOQUIA;5;Peñol;5541;32,92553191;21,52912561;2,05;37,26;0,6;21,38;14,43;12,45260836;116,2389452;168,5230461;0,311542843;0,709910138
ANTIOQUIA;5;Peque;5543;81,22569398;74,51006711;1,46;86,89;2,92;73,23;29,32;22,68403308;51,23729243;69,31220556;0,04893294;0,588623984
ANTIOQUIA;5;Pueblorrico;5576;38,80580603;30,02210216;6,85;54,24;5,22;42,47;18,41;18,14317982;60,49379194;64,60273886;0,16988076;0,868541145
ANTIOQUIA;5;Puerto Berrío;5579;42,40567214;38,42953108;14,67;41,23;9,84;33,56;16,8;15,23306613;355,9042354;469,4823552;0,343871645;0,561056989
ANTIOQUIA;5;Puerto Nare (La Magdalena);5585;49,47392673;31,9408458;8,59;43,05;11,23;26,73;19,71;17,00124836;515,9758888;508,2195623;0,156898817;0,389645204
ANTIOQUIA;5;Puerto Triunfo;5591;46,19671793;33,65030008;8,44;41,23;17,44;21,58;21,53;19,73832825;176,1209157;153,1125973;0,157181831;0,426315034
ANTIOQUIA;5;Remedios;5604;53,34207937;47,56499806;7,31;59,25;5;57,93;19,78;17,4276382;207,2171015;302,1942342;0,150132297;0,644530102
ANTIOQUIA;5;Retiro;5607;25,94261679;12,20021844;3,53;37,05;4,37;19,68;12,44;12,62807072;205,9231068;275,3195263;0,435689752;0,192905111
